date,open,close,Name
2017-03-27,166.89,167.44,BRK.B
2017-03-28,167.28,168.31,BRK.B
2017-03-29,168.0,166.59,BRK.B
2017-03-30,166.3,167.36,BRK.B
2017-03-31,167.41,166.68,BRK.B
2017-04-03,166.72,166.87,BRK.B
2017-04-04,166.61,166.86,BRK.B
2017-04-05,167.45,165.83,BRK.B
2017-04-06,165.64,166.47,BRK.B
2017-04-07,165.62,166.17,BRK.B
2017-04-10,166.2,166.35,BRK.B
2017-04-11,165.8,165.7,BRK.B
2017-04-12,165.07,165.11,BRK.B
2017-04-13,164.98,162.9,BRK.B
2017-04-17,163.61,164.35,BRK.B
2017-04-18,163.87,163.69,BRK.B
2017-04-19,164.1,162.76,BRK.B
2017-04-20,163.29,164.98,BRK.B
2017-04-21,164.4,163.41,BRK.B
2017-04-24,165.7,165.78,BRK.B
2017-04-25,166.92,167.53,BRK.B
2017-04-26,167.5,167.63,BRK.B
2017-04-27,167.65,166.55,BRK.B
2017-04-28,166.28,165.21,BRK.B
2017-05-01,165.8,165.44,BRK.B
2017-05-02,165.9,166.05,BRK.B
2017-05-03,165.7,166.73,BRK.B
2017-05-04,167.64,166.34,BRK.B
2017-05-05,167.12,166.55,BRK.B
2017-05-08,166.5,165.02,BRK.B
2017-05-09,165.17,163.46,BRK.B
2017-05-10,163.36,163.72,BRK.B
2017-05-11,163.58,163.27,BRK.B
2017-05-12,163.06,163.32,BRK.B
2017-05-15,163.81,163.8,BRK.B
2017-05-16,164.1,163.61,BRK.B
2017-05-17,162.44,161.26,BRK.B
2017-05-18,161.5,161.62,BRK.B
2017-05-19,161.86,163.24,BRK.B
2017-05-22,164.8,165.13,BRK.B
2017-05-23,165.4,165.48,BRK.B
2017-05-24,165.9,164.93,BRK.B
2017-05-25,165.23,165.3,BRK.B
2017-05-26,165.25,165.69,BRK.B
2017-05-30,165.79,165.11,BRK.B
2017-05-31,165.27,165.28,BRK.B
2017-06-01,165.8,166.66,BRK.B
2017-06-02,166.13,166.29,BRK.B
2017-06-05,166.43,166.52,BRK.B
2017-06-06,166.12,166.13,BRK.B
2017-06-07,166.14,166.5,BRK.B
2017-06-08,166.35,166.94,BRK.B
2017-06-09,167.67,170.0,BRK.B
2017-06-12,169.43,170.5,BRK.B
2017-06-13,171.5,171.47,BRK.B
2017-06-14,170.92,171.45,BRK.B
2017-06-15,170.6,170.55,BRK.B
2017-06-16,170.6,170.48,BRK.B
2017-06-19,171.39,171.55,BRK.B
2017-06-20,171.68,170.55,BRK.B
